Age,BusinessTravel,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,Attrition
41,Travel_Rarely,Sales,1,Life Sciences,2,Female,Sales Executive,4,Single,5993,8,Yes,3,8,0,1,4,Yes
49,Travel_Frequently,Research & Development,8,Life Sciences,3,Male,Research Scientist,2,Married,5130,1,No,4,10,3,3,7,No
37,Travel_Rarely,Research & Development,2,Other,4,Male,Laboratory Technician,3,Single,2090,6,Yes,3,7,3,3,0,Yes
33,Travel_Frequently,Research & Development,3,Life Sciences,4,Female,Research Scientist,3,Married,2909,1,Yes,3,8,3,3,7,No
27,Travel_Rarely,Research & Development,2,Medical,1,Male,Laboratory Technician,2,Married,3468,9,No,3,6,3,3,2,No
32,Travel_Frequently,Research & Development,2,Life Sciences,4,Male,Laboratory Technician,4,Single,3068,0,No,3,8,2,2,7,No
59,Travel_Rarely,Research & Development,3,Medical,3,Female,Laboratory Technician,1,Married,2670,4,Yes,4,12,3,2,0,No
30,Travel_Rarely,Research & Development,24,Life Sciences,4,Male,Laboratory Technician,3,Divorced,2693,1,No,4,1,2,3,0,No
38,Travel_Frequently,Research & Development,23,Life Sciences,4,Male,Manufacturing Director,3,Single,9526,0,No,4,10,2,3,7,No
36,Travel_Rarely,Research & Development,27,Medical,3,Male,Healthcare Representative,3,Married,5237,6,No,3,17,3,2,7,No
35,Travel_Rarely,Research & Development,16,Medical,1,Male,Laboratory Technician,2,Married,2426,0,No,3,6,5,3,4,No
29,Travel_Rarely,Research & Development,15,Life Sciences,4,Female,Laboratory Technician,3,Single,4193,0,Yes,3,10,3,3,5,No
31,Travel_Rarely,Research & Development,26,Life Sciences,1,Male,Research Scientist,3,Divorced,2911,1,No,3,5,1,2,2,No
34,Travel_Rarely,Research & Development,19,Medical,2,Male,Laboratory Technician,4,Divorced,2661,0,No,3,3,2,3,2,No
28,Travel_Rarely,Research & Development,24,Life Sciences,3,Male,Laboratory Technician,3,Single,2028,5,Yes,3,6,4,3,2,Yes
29,Travel_Rarely,Research & Development,21,Life Sciences,2,Female,Manufacturing Director,1,Divorced,9980,1,No,3,10,1,3,9,No
32,Travel_Rarely,Research & Development,5,Life Sciences,1,Male,Research Scientist,2,Divorced,3298,0,Yes,3,7,5,2,2,No
22,Non-Travel,Research & Development,16,Medical,4,Male,Laboratory Technician,4,Divorced,2935,1,Yes,3,1,2,2,0,No
53,Travel_Rarely,Sales,2,Life Sciences,1,Female,Manager,4,Married,15427,2,No,3,31,3,3,8,No
38,Travel_Rarely,Research & Development,2,Life Sciences,4,Male,Research Scientist,4,Single,3944,5,Yes,3,6,3,3,2,No
24,Non-Travel,Research & Development,11,Other,1,Female,Manufacturing Director,3,Divorced,4011,0,No,3,5,5,2,2,No
36,Travel_Rarely,Sales,9,Life Sciences,3,Male,Sales Representative,1,Single,3407,7,No,4,10,4,3,3,Yes
34,Travel_Rarely,Research & Development,7,Life Sciences,1,Female,Research Director,2,Single,11994,0,No,3,13,4,3,6,No
21,Travel_Rarely,Research & Development,15,Life Sciences,3,Male,Research Scientist,4,Single,1232,1,No,3,0,6,3,0,No
34,Travel_Rarely,Research & Development,6,Medical,2,Male,Research Scientist,1,Single,2960,2,No,3,8,2,3,2,Yes
53,Travel_Rarely,Research & Development,5,Other,3,Female,Manager,3,Divorced,19094,4,No,3,26,3,2,13,No
32,Travel_Frequently,Research & Development,16,Life Sciences,2,Female,Research Scientist,1,Single,3919,1,Yes,4,10,5,3,2,Yes
42,Travel_Rarely,Sales,8,Marketing,3,Male,Sales Executive,2,Married,6825,0,No,3,10,2,3,7,No
44,Travel_Rarely,Research & Development,7,Medical,1,Female,Healthcare Representative,4,Married,10248,3,No,3,24,4,3,6,No
46,Travel_Rarely,Sales,2,Marketing,2,Female,Manager,1,Single,18947,3,No,3,22,2,2,2,No
33,Travel_Rarely,Research & Development,2,Medical,3,Male,Laboratory Technician,4,Single,2496,4,No,3,7,3,3,1,No
44,Travel_Rarely,Research & Development,10,Other,4,Male,Healthcare Representative,4,Married,6465,2,Yes,3,9,5,4,2,No
30,Travel_Rarely,Research & Development,9,Medical,4,Male,Laboratory Technician,3,Single,2206,1,No,3,10,5,3,0,No
39,Travel_Rarely,Sales,5,Technical Degree,4,Male,Sales Representative,4,Married,2086,3,No,3,19,6,4,0,Yes
24,Travel_Rarely,Research & Development,1,Medical,2,Male,Research Scientist,4,Married,2293,2,Yes,3,6,2,2,0,Yes
43,Travel_Rarely,Research & Development,2,Medical,4,Female,Research Scientist,3,Divorced,2645,1,No,3,6,3,2,3,No
50,Travel_Rarely,Sales,3,Marketing,1,Male,Sales Representative,3,Married,2683,1,Yes,3,3,2,3,2,Yes
35,Travel_Rarely,Sales,2,Marketing,4,Female,Sales Representative,4,Married,2014,1,No,3,2,3,3,2,No
36,Travel_Rarely,Research & Development,5,Life Sciences,2,Female,Research Scientist,1,Married,3419,9,Yes,3,6,3,4,1,No
33,Travel_Frequently,Sales,1,Life Sciences,3,Female,Sales Executive,1,Married,5376,2,No,3,10,3,3,3,No
35,Travel_Rarely,Research & Development,4,Other,3,Male,Laboratory Technician,4,Divorced,1951,1,No,3,1,3,3,0,No
27,Travel_Rarely,Research & Development,2,Life Sciences,4,Female,Laboratory Technician,1,Divorced,2341,1,No,3,1,6,3,0,No
26,Travel_Rarely,Research & Development,25,Life Sciences,1,Male,Laboratory Technician,3,Single,2293,1,No,3,1,2,2,0,Yes
27,Travel_Frequently,Sales,8,Life Sciences,4,Male,Sales Executive,3,Single,8726,1,No,3,9,0,3,8,No
30,Travel_Frequently,Research & Development,1,Medical,3,Female,Laboratory Technician,4,Single,4011,1,No,4,12,2,3,8,No
41,Travel_Rarely,Research & Development,12,Technical Degree,2,Female,Research Director,3,Married,19545,1,No,3,23,0,3,15,Yes
34,Non-Travel,Sales,23,Marketing,2,Male,Sales Executive,3,Single,4568,0,No,4,10,2,3,5,No
37,Travel_Rarely,Research & Development,19,Life Sciences,2,Male,Research Scientist,2,Married,3022,4,No,4,8,1,3,0,No
46,Travel_Frequently,Sales,5,Marketing,1,Male,Sales Executive,4,Single,5772,4,Yes,4,14,4,3,6,No
35,Travel_Rarely,Research & Development,8,Life Sciences,4,Male,Laboratory Technician,4,Married,2269,1,No,3,1,2,3,0,No
